DATE,CES3000000030
1998-11-01,560.56
1998-12-01,562.74
1999-01-01,561.27
1999-02-01,564.28
1999-03-01,565.40
1999-04-01,567.05
1999-05-01,571.32
1999-06-01,572.42
1999-07-01,575.87
1999-08-01,578.51
1999-09-01,579.19
1999-10-01,579.19
1999-11-01,580.01
1999-12-01,582.08
2000-01-01,586.40
2000-02-01,586.81
2000-03-01,586.64
2000-04-01,593.39
2000-05-01,585.86
2000-06-01,590.59
2000-07-01,594.70
2000-08-01,588.76
2000-09-01,591.84
2000-10-01,595.13
2000-11-01,596.77
2000-12-01,584.35
2001-01-01,587.89
2001-02-01,589.28
2001-03-01,590.49
2001-04-01,591.05
2001-05-01,593.48
2001-06-01,594.02
2001-07-01,602.10
2001-08-01,598.46
2001-09-01,598.58
2001-10-01,597.09
2001-11-01,599.90
2001-12-01,603.40
2002-01-01,604.61
2002-02-01,607.82
2002-03-01,613.58
2002-04-01,615.90
2002-05-01,618.74
2002-06-01,621.49
2002-07-01,618.12
2002-08-01,621.27
2002-09-01,622.49
2002-10-01,623.04
2002-11-01,625.39
2002-12-01,629.37
2003-01-01,627.87
2003-02-01,629.89
2003-03-01,631.86
2003-04-01,626.76
2003-05-01,630.74
2003-06-01,633.52
2003-07-01,631.98
2003-08-01,634.76
2003-09-01,641.12
2003-10-01,642.70
2003-11-01,650.31
2003-12-01,647.94
2004-01-01,652.36
2004-02-01,655.18
2004-03-01,654.81
2004-04-01,653.64
2004-05-01,660.48
2004-06-01,657.29
2004-07-01,657.70
2004-08-01,660.96
2004-09-01,663.41
2004-10-01,660.56
2004-11-01,660.15
2004-12-01,663.40
2005-01-01,666.67
2005-02-01,669.11
2005-03-01,664.18
2005-04-01,664.98
2005-05-01,667.81
2005-06-01,668.22
2005-07-01,669.43
2005-08-01,673.52
2005-09-01,675.21
2005-10-01,684.29
2005-11-01,681.80
2005-12-01,680.54
2006-01-01,684.70
2006-02-01,686.37
2006-03-01,686.78
2006-04-01,689.69
2006-05-01,690.92
2006-06-01,691.34
2006-07-01,694.69
2006-08-01,693.40
2006-09-01,691.71
2006-10-01,696.69
2006-11-01,693.72
2006-12-01,698.29
2007-01-01,697.41
2007-02-01,697.35
2007-03-01,706.23
2007-04-01,710.36
2007-05-01,709.88
2007-06-01,715.81
2007-07-01,714.08
2007-08-01,716.56
2007-09-01,717.38
2007-10-01,715.23
2007-11-01,720.27
2007-12-01,716.78
2008-01-01,719.25
2008-02-01,723.88
2008-03-01,728.12
2008-04-01,724.59
2008-05-01,727.06
2008-06-01,729.94
2008-07-01,729.80
2008-08-01,728.02
2008-09-01,721.71
2008-10-01,724.95
2008-11-01,719.80
2008-12-01,716.40
2009-01-01,715.00
2009-02-01,716.36
2009-03-01,712.51
2009-04-01,717.32
2009-05-01,712.51
2009-06-01,719.93
2009-07-01,729.77
2009-08-01,732.80
2009-09-01,736.80
2009-10-01,738.88
2009-11-01,746.01
2009-12-01,747.85
2010-01-01,751.94
2010-02-01,748.04
2010-03-01,757.27
2010-04-01,760.76
2010-05-01,769.21
2010-06-01,761.37
2010-07-01,766.10
2010-08-01,767.97
2010-09-01,776.47
2010-10-01,771.68
2010-11-01,774.79
2010-12-01,776.03
2011-01-01,774.49
2011-02-01,783.29
2011-03-01,782.46
2011-04-01,780.98
2011-05-01,785.18
2011-06-01,782.46
2011-07-01,783.70
2011-08-01,782.46
2011-09-01,780.98
2011-10-01,787.67
2011-11-01,786.84
2011-12-01,790.40
2012-01-01,795.04
2012-02-01,792.72
2012-03-01,791.23
2012-04-01,796.47
2012-05-01,791.65
2012-06-01,795.64
2012-07-01,796.89
2012-08-01,790.58
2012-09-01,791.41
2012-10-01,792.24
2012-11-01,793.90
2012-12-01,797.72
2013-01-01,799.39
2013-02-01,805.32
2013-03-01,804.90
2013-04-01,803.81
2013-05-01,802.31
2013-06-01,805.90
2013-07-01,803.14
2013-08-01,809.51
2013-09-01,808.41
2013-10-01,811.18
2013-11-01,814.80
2013-12-01,815.37
2014-01-01,809.54
2014-02-01,810.78
2014-03-01,820.26
2014-04-01,816.21
2014-05-01,821.79
2014-06-01,823.06
2014-07-01,822.78
2014-08-01,823.62
2014-09-01,827.12
2014-10-01,827.27
2014-11-01,829.23
2014-12-01,826.42
2015-01-01,824.88
2015-02-01,828.66
2015-03-01,826.39
2015-04-01,827.64
2015-05-01,830.15
2015-06-01,831.82
2015-07-01,833.49
2015-08-01,835.16
2015-09-01,837.34
2015-10-01,838.51
2015-11-01,838.09
2015-12-01,840.18
2016-01-01,844.29
2016-02-01,844.36
2016-03-01,847.29
2016-04-01,852.30
2016-05-01,855.18
2016-06-01,855.65
2016-07-01,861.00
2016-08-01,858.99
2016-09-01,861.46
2016-10-01,864.78
2016-11-01,862.72
2016-12-01,863.98
2017-01-01,864.40
2017-02-01,864.82
2017-03-01,864.84
2017-04-01,869.84
2017-05-01,871.52
2017-06-01,875.28
2017-07-01,878.22
2017-08-01,879.48
2017-09-01,879.90
2017-10-01,884.94
2017-11-01,886.62
2017-12-01,887.41
2018-01-01,890.76
2018-02-01,900.55
2018-03-01,903.08
2018-04-01,907.76
2018-05-01,901.78
2018-06-01,903.05
2018-07-01,905.19
2018-08-01,909.41
2018-09-01,909.36
2018-10-01,913.57
2018-11-01,914.76
2018-12-01,919.46
2019-01-01,916.35
2019-02-01,914.48
2019-03-01,916.57
2019-04-01,913.12
2019-05-01,916.45
2019-06-01,922.82
2019-07-01,920.89
2019-08-01,921.72
2019-09-01,922.55
2019-10-01,923.22
2019-11-01,926.53
2019-12-01,928.01
2020-01-01,928.01
2020-02-01,938.08
2020-03-01,933.79
2020-04-01,872.83
2020-05-01,897.14
2020-06-01,901.74
2020-07-01,928.37
2020-08-01,936.85
2020-09-01,947.60
2020-10-01,949.49
2020-11-01,954.44
2020-12-01,959.65
2021-01-01,968.03
2021-02-01,970.69
2021-03-01,975.78
2021-04-01,976.77
2021-05-01,981.06
2021-06-01,981.70
2021-07-01,991.44
2021-08-01,994.84
2021-09-01,997.74
2021-10-01,998.22
2021-11-01,1003.54
2021-12-01,1009.33
2022-01-01,1009.81
2022-02-01,1021.70
2022-03-01,1026.71
2022-04-01,1025.48
2022-05-01,1030.02
